station;coords;wiki_link
Adršpach;50.615278, 16.124167;https://pl.wikipedia.org/wiki/Adršpach_(stacja_kolejowa)
Ahlbeck;53.9355655,14.1877831;https://pl.wikipedia.org/wiki/Seebad_Ahlbeck_(stacja_kolejowa)
Aleksandrów Kujawski;52.875556, 18.696944;https://pl.wikipedia.org/wiki/Aleksandrów_Kujawski_(stacja_kolejowa)
Alytus;54.398889, 23.981667;https://pl.wikipedia.org/wiki/Alytus_(stacja_kolejowa)
Anastazewo;52.447500, 18.023889;https://pl.wikipedia.org/wiki/Anastazewo_(stacja_kolejowa)
Andrzejewicze;53.111667, 24.300556;https://pl.wikipedia.org/wiki/Andrzejewicze_(stacja_kolejowa)
Angermünde;53.015556, 13.996111;https://pl.wikipedia.org/wiki/Angermünde_(stacja_kolejowa)
Antonówka;51.311389, 26.303056;https://pl.wikipedia.org/wiki/Antonówka_(stacja_kolejowa)
Antonówka Wąska;51.311528, 26.302417;https://www.atlaskolejowy.net/ua/rowienski/?id=baza&poz=29702
Arcugowo;52.450000, 17.689722;https://pl.wikipedia.org/wiki/Arcugowo_(przystanek_kolejowy)
Augustów;53.8527155,23.0259740;https://pl.wikipedia.org/wiki/Augustów_(stacja_kolejowa)
Baborów;50.156111, 17.977500;https://pl.wikipedia.org/wiki/Baborów_(stacja_kolejowa)
Bad Muskau;51.535833, 14.724167;https://pl.wikipedia.org/wiki/Bad_Muskau_(stacja_kolejowa)
Baranowicze;53.132222, 25.993611;https://pl.wikipedia.org/wiki/Baranowicze_Centralne
Baranowicze Poleskie Wąskie;53.128389, 26.041722;https://www.atlaskolejowy.net/by/bielarus/?id=baza&poz=30502
Barcin;52.852222, 17.940556;https://pl.wikipedia.org/wiki/Barcin_(stacja_kolejowa)
Bardejov;49.296944, 21.281944;https://pl.wikipedia.org/wiki/Bardejov_(stacja_kolejowa)
Bardo;50.504736, 16.733625;https://pl.wikipedia.org/wiki/Bardo_Śląskie_(przystanek_kolejowy)
Bargędzino;54.722833, 17.716333;https://www.atlaskolejowy.net/pl/pomorskie/?id=baza&poz=7165
Barlinek;52.998889, 15.217778;https://pl.wikipedia.org/wiki/Barlinek_(stacja_kolejowa)
Barnisław;53.366389, 14.404167;https://pl.wikipedia.org/wiki/Barnisław_(przystanek_kolejowy)
Barnowo;54.233333, 17.251944;https://pl.wikipedia.org/wiki/Barnowo_(stacja_kolejowa)
Bartoszyce;54.251111, 20.819444;https://pl.wikipedia.org/wiki/Bartoszyce_(stacja_kolejowa)
Barwice;53.751111, 16.358056;https://pl.wikipedia.org/wiki/Barwice_(przystanek_kolejowy)
Bednary;52.105278, 20.063889;https://pl.wikipedia.org/wiki/Bednary_(stacja_kolejowa)
Bedoń;51.732500, 19.641389;https://pl.wikipedia.org/wiki/Bedoń_(przystanek_kolejowy)
