line_id;station_1;station_2;opened;closed;electrified;gauge_mm;source;comment
L_dcc4563b85;Jacinki;Nacław;1897-01-01;1898-01-01;false;;Lijewski;Według bazy kolejowej https://www.atlaskolejowy.net/pl/zachodniopomorskie/?id=linia&poz=996 wybudowany w 1898 roku odcinek doprowadzał aż do Jacinek.
L_e5f59cf05a;Gryfice;Popiele;1896-01-01;1905-01-01;false;750.0;Semaforek;
L_2e5316b79d;Popiele;Rewal;1896-01-01;1905-01-01;false;750.0;Semaforek;
L_04e51fd9d2;Niechorze;Rewal;1896-01-01;1905-01-01;false;750.0;Semaforek;
L_2e8a9de2d9;Niechorze;Pogorzelica Gryficka;1896-01-01;1905-01-01;false;750.0;Semaforek;
L_6e80bf69da;Dobra Szczecińska;Stobno Szczecińskie;1897-01-01;1905-01-01;false;750.0;Semaforek;
L_93af77eb2e;Dobra Szczecińska;Stolec;1897-01-01;1905-01-01;false;750.0;Semaforek;
L_bfaab4f8f8;Stolec;Stolzenburger Glashütte;1897-01-01;1905-01-01;false;750.0;Semaforek;
L_d7c8eeb9e0;Gryfice;Tąpadły;1898-01-01;1905-01-01;false;750.0;Semaforek;
L_31dd7090a9;Dargosław;Tąpadły;1898-01-01;1905-01-01;false;750.0;Semaforek;
L_6e80bf69da;Dobra Szczecińska;Stobno Szczecińskie;1905-01-01;1906-01-01;false;1435.0;Semaforek;
L_9ded07269d;Dobra Szczecińska;Stolzenburger Glashütte;1906-01-01;1906-01-01;false;;Semaforek;
L_e15cdd6428;Częstochowa Stradom;Herby Stare;1903-01-01;1911-01-01;false;600.0;;
L_9f97c1b140;Siecie;Żelkowo;1902-01-01;1913-01-01;false;750.0;Atlas Kolejowy;
L_06fb4d5edf;Siecie;Smołdzino;1902-01-01;1913-01-01;false;750.0;Atlas Kolejowy;
L_5a33b00540;Smólsk;Włocławek;1907-01-01;1914-01-01;false;750.0;Semaforek;
L_7bc83f5e1a;Brześć Kujawski;Smólsk;1907-01-01;1914-01-01;false;750.0;Semaforek;
L_b8b190f63f;Dobre Kujawskie;Płowce;1908-01-01;1914-01-01;false;750.0;Semaforek;
L_60e1bf3550;Jerzmanowo;Smólsk;1910-01-01;1914-01-01;false;750.0;Semaforek;
L_b47c3716e0;Boniewo;Jerzmanowo;1910-01-01;1914-01-01;false;750.0;Semaforek;
L_33040c69b4;Krośniewice;Ostrowy Wąskotorowe;1910-01-01;1914-01-01;false;750.0;Semaforek;
L_0a36646298;Krośniewice;Most Krzewie;1910-01-01;1914-01-01;false;750.0;Semaforek;
L_2ef41f998b;Koryta;Most Krzewie;1910-01-01;1914-01-01;false;750.0;Semaforek;
L_67a10d9599;Szczawno Zdrój;Wałbrzych Szczawienko;1877-01-01;1914-01-01;false;;Semaforek;
L_70d8ccf849;Boguszów Gorce Wschód;Mieroszów;1877-01-01;1914-01-01;false;;Semaforek;
L_2b0607ec7b;Mezimesti;Mieroszów;1877-01-01;1914-01-01;false;;Semaforek;
L_bce411dc57;Anastazewo;Jabłonka Słupecka;1912-01-01;1915-01-01;false;750.0;Semaforek;
L_c56d88edcc;Gosławice;Jabłonka Słupecka;1912-01-01;1915-01-01;false;750.0;Semaforek;
L_eeef3051fd;Jabłonka Słupecka;Sławoszewek;1912-01-01;1915-01-01;false;750.0;Semaforek;
L_35ed8dd3d5;Sławoszewek;Wilczyn;1912-01-01;1915-01-01;false;750.0;Semaforek;
L_63c9902bd5;Wałbrzych Szczawienko;Świebodzice;1853-01-01;1916-01-01;false;;Semaforek;
L_f164867f6e;Jaworzyna Śląska;Świebodzice;1843-01-01;1917-01-01;false;;;
L_ad64fc9674;Marciszów;Sędzisław;1867-01-01;1920-01-01;false;;;
L_63cc4f4eda;Jelenia Góra;Marciszów;1867-01-01;1920-01-01;false;;;
L_c91285c470;Chorzele;Wielbark;1915-01-01;1920-01-01;false;;Semaforek;
L_4bae69e4d3;Międzychód;Wierzbno;1887-01-01;1920-01-01;false;;Semaforek;
L_bb3f54e4b5;Bukowa Śląska;Rychtal;1912-01-01;1920-01-01;false;;Semaforek;
L_0fae490cee;Praszka;Zawisna;1916-01-01;1920-01-01;false;750.0;Semaforek;
L_4e608c08ff;Orzegów;Zabrze Biskupice;1899-01-01;1920-01-01;false;;Semaforek;
L_d1ea9af302;Kamienna Góra;Sędzisław;1869-01-01;1921-01-01;false;;Semaforek;
L_59bbfdb6f8;Kamienna Góra;Lubawka;1869-01-01;1921-01-01;false;;Semaforek;
L_5c707c9e1b;Kwidzyn;Opalenie;1909-01-01;1921-01-01;false;;Semaforek;
L_5a33b00540;Smólsk;Włocławek;1914-01-01;1922-01-01;false;600.0;Semaforek;
L_7bc83f5e1a;Brześć Kujawski;Smólsk;1914-01-01;1922-01-01;false;600.0;Semaforek;
L_b8b190f63f;Dobre Kujawskie;Płowce;1914-01-01;1922-01-01;false;600.0;Semaforek;
L_60e1bf3550;Jerzmanowo;Smólsk;1914-01-01;1922-01-01;false;600.0;Semaforek;
