line_id;station_1;station_2;opened;closed;electrified;gauge_mm;source;comment
L_e15cdd6428;Częstochowa Stradom;Herby Stare;1903-01-01;1911-01-01;false;600.0;;
L_5a33b00540;Smólsk;Włocławek;1907-01-01;1914-01-01;false;750.0;Semaforek;
L_7bc83f5e1a;Brześć Kujawski;Smólsk;1907-01-01;1914-01-01;false;750.0;Semaforek;
L_b8b190f63f;Dobre Kujawskie;Płowce;1908-01-01;1914-01-01;false;750.0;Semaforek;
L_60e1bf3550;Jerzmanowo;Smólsk;1910-01-01;1914-01-01;false;750.0;Semaforek;
L_b47c3716e0;Boniewo;Jerzmanowo;1910-01-01;1914-01-01;false;750.0;Semaforek;
L_33040c69b4;Krośniewice;Ostrowy Wąskotorowe;1910-01-01;1914-01-01;false;750.0;Semaforek;
L_0a36646298;Krośniewice;Most Krzewie;1910-01-01;1914-01-01;false;750.0;Semaforek;
L_2ef41f998b;Koryta;Most Krzewie;1910-01-01;1914-01-01;false;750.0;Semaforek;
L_bce411dc57;Anastazewo;Jabłonka Słupecka;1912-01-01;1915-01-01;false;750.0;Semaforek;
L_c56d88edcc;Gosławice;Jabłonka Słupecka;1912-01-01;1915-01-01;false;750.0;Semaforek;
L_eeef3051fd;Jabłonka Słupecka;Sławoszewek;1912-01-01;1915-01-01;false;750.0;Semaforek;
L_35ed8dd3d5;Sławoszewek;Wilczyn;1912-01-01;1915-01-01;false;750.0;Semaforek;
L_c91285c470;Chorzele;Wielbark;1915-01-01;1920-01-01;false;;Semaforek;
L_4bae69e4d3;Międzychód;Wierzbno;1887-01-01;1920-01-01;false;;Semaforek;
L_bb3f54e4b5;Bukowa Śląska;Rychtal;1912-01-01;1920-01-01;false;;Semaforek;
L_0fae490cee;Praszka;Zawisna;1916-01-01;1920-01-01;false;750.0;Semaforek;
L_4e608c08ff;Orzegów;Zabrze Biskupice;1899-01-01;1920-01-01;false;;Semaforek;
L_5c707c9e1b;Kwidzyn;Opalenie;1909-01-01;1921-01-01;false;;Semaforek;
L_5a33b00540;Smólsk;Włocławek;1914-01-01;1922-01-01;false;600.0;Semaforek;
L_7bc83f5e1a;Brześć Kujawski;Smólsk;1914-01-01;1922-01-01;false;600.0;Semaforek;
L_b8b190f63f;Dobre Kujawskie;Płowce;1914-01-01;1922-01-01;false;600.0;Semaforek;
L_60e1bf3550;Jerzmanowo;Smólsk;1914-01-01;1922-01-01;false;600.0;Semaforek;
L_b47c3716e0;Boniewo;Jerzmanowo;1914-01-01;1922-01-01;false;600.0;Semaforek;
L_57398fe095;Jerzmanowo;Płowce;1915-01-01;1922-01-01;false;600.0;Semaforek;
L_df572d64db;Boniewo;Krośniewice;1915-01-01;1922-01-01;false;600.0;Semaforek;
L_89e9480211;Boniewo;Przystronie;1915-01-01;1922-01-01;false;600.0;Semaforek;
L_70a0c0dace;Vievis;Zawiasy;1861-01-01;1922-01-01;false;;Semaforek;
L_266ed36cc1;Alytus;Orany;1899-01-01;1922-01-01;false;;Semaforek;
L_747799aaa3;Trakiszki;Šeštokai;1899-01-01;1922-01-01;false;;Semaforek;
L_dab895b186;Myszyniec;Rozogi;1915-01-01;1922-01-01;false;600.0;Semaforek;
L_32776f8f80;Piotrków Kujawski;Sompolno;1915-01-01;1923-01-01;false;600.0;Semaforek;
L_7887e8c1ab;Przystronie;Sompolno;1915-01-01;1923-01-01;false;600.0;Semaforek;
L_afc9071bc8;Koło;Przystronie;1915-01-01;1923-01-01;false;600.0;Semaforek;
L_58aa8ff642;Dąbie;Koło;1915-01-01;1923-01-01;false;600.0;Semaforek;
L_0427698196;Grodzisk Mazowiecki;Żyrardów;1845-01-01;1937-01-01;false;;Semaforek;
L_081650951e;Sianki;Tűzhegy;1905-01-01;1939-01-01;false;;Semaforek;
L_bd5852881d;Krzywiń;Stare Bojanowo;1900-01-01;1950-01-01;false;1000.0;Semaforek;
L_c814111aa8;Stare Bojanowo;Śmigiel;1900-01-01;1950-01-01;false;1000.0;Semaforek;
L_d719ae833f;Wielichowo;Śmigiel;1900-01-01;1950-01-01;false;1000.0;Semaforek;
L_6bd06d0d17;Ujazd Wielkopolski;Wielichowo;1900-01-01;1950-01-01;false;1000.0;Semaforek;
L_d877baf54e;Rakoniewice;Wielichowo;1910-01-01;1950-01-01;false;1000.0;Semaforek;
L_0f480155fd;Charsznica;Miechów;1916-01-01;1950-01-01;false;600.0;Semaforek;
L_5ce3c381cd;Działoszyce;Miechów;1916-01-01;1950-01-01;false;600.0;Semaforek;
L_1fa1da6d44;Bogoria;Staszów Wąskotorowy;1916-01-01;1950-01-01;false;600.0;Semaforek;
L_2b24fc72fd;Kocmyrzów;Posądza;1920-01-01;1950-01-01;false;600.0;Semaforek;
L_1f57d5f208;Rataje Wąskotorowe;Staszów Wąskotorowy;1923-01-01;1950-01-01;false;600.0;Semaforek;
L_7971e60738;Rataje Wąskotorowe;Szczucin koło Tarnowa Wąskotorowy;1923-01-01;1950-01-01;false;600.0;Semaforek;
L_aba339f92f;Działoszyce;Kazimierza Wielka;1925-01-01;1950-01-01;false;600.0;Semaforek;
L_9c8a2fb1b2;Cudzynowice;Wiślica;1925-01-01;1950-01-01;false;600.0;Semaforek;
L_dcf3f9c930;Pińczów;Wiślica;1925-01-01;1950-01-01;false;600.0;Semaforek;
L_c8dfc59272;Rataje Wąskotorowe;Szczucin koło Tarnowa;1926-01-01;1950-01-01;false;600.0;Semaforek;
L_9e8e69749b;Posądza;Proszowice;1926-01-01;1950-01-01;false;600.0;Semaforek;
L_94168928e7;Kazimierza Wielka;Proszowice;1926-01-01;1950-01-01;false;600.0;Semaforek;
L_db015b4af3;Marki;Warszawa Targowa;1899-01-01;1951-01-01;false;800.0;;
L_c49168ddd2;Marki;Struga;1899-01-01;1951-01-01;false;800.0;;
L_7dfe7c91a0;Radzymin Wąskotorowy;Struga;1899-01-01;1951-01-01;false;800.0;;
L_5916d75fa4;Warszawa Stalowa;Warszawa Targówek;1901-01-01;1951-01-01;false;800.0;;
L_bd5eb144f4;Kańczuga;Przeworsk;1904-01-01;1951-01-01;false;760.0;Semaforek;
L_92a08f6209;Dynów;Kańczuga;1904-01-01;1951-01-01;false;760.0;Semaforek;
L_33040c69b4;Krośniewice;Ostrowy Wąskotorowe;1914-01-01;1951-01-01;false;600.0;Semaforek;
L_0a36646298;Krośniewice;Most Krzewie;1914-01-01;1951-01-01;false;600.0;Semaforek;
L_2ef41f998b;Koryta;Most Krzewie;1914-01-01;1951-01-01;false;600.0;Semaforek;
L_da206b53e1;Koryta;Łęczyca Wąskotorowa;1915-01-01;1951-01-01;false;600.0;Semaforek;
L_022b4799f3;Ozorków Wąskotorowy;Łęczyca Wąskotorowa;1915-01-01;1951-01-01;false;600.0;Semaforek;
L_50c0e39f52;Połażejewo;Środa Wielkopolska Miasto;1902-01-01;1953-01-01;false;1000.0;Semaforek;
L_aaa9283736;Poznań Kobylepole;Połażejewo;1902-01-01;1953-01-01;false;1000.0;Semaforek;
